Date,Volume ,Open,High,Low,Close
2011-01-03,6729,3654,3669,3628,3654
2011-01-04,6776,3647,3713,3614,3647
2011-01-05,13129,3633,3659,3598,3633
2011-01-06,11863,3685,3702,3653,3685
2011-01-07,17658,3602,3655,3567,3601
2011-01-10,10650,3573,3615,3538,3573
2011-01-11,11125,3543,3567,3508,3542
2011-01-12,7160,3486,3542,3421,3486
2011-01-13,2944,3472,3516,3448,3472
2011-01-14,2368,3483,3508,3452,3483
2011-01-17,1227,3470,3505,3429,3470
2011-01-18,1837,3464,3487,3423,3464
2011-01-19,3281,3538,3551,3509,3538
2011-01-21,1260,3583,3614,3527,3583
2011-01-24,1810,3608,3652,3561,3608
2011-01-25,3190,3523,3552,3501,3523
2011-01-26,1781,3464,3503,3428,3464
2011-01-27,1833,3513,3532,3477,3513
2011-01-28,1172,3521,3533,3495,3521
2011-01-31,1910,3583,3631,3556,3583
2011-02-02,864,3716,3730,3676,3717
2011-02-07,2994,3713,3746,3697,3713
2011-02-08,2860,3676,3724,3656,3676
2011-02-09,3433,3745,3772,3707,3745
2011-02-10,2578,3753,3801,3722,3753
2011-02-11,1902,3758,3791,3738,3758
2011-02-14,3260,3761,3778,3743,3760
2011-02-16,11703,3653,3693,3612,3652
2011-02-17,16742,3576,3651,3519,3576
2011-02-18,16129,3578,3656,3531,3578
2011-02-21,11407,3531,3549,3492,3531
2011-02-22,13795,3540,3575,3510,3540
2011-02-23,16587,3396,3429,3374,3396
2011-02-24,27351,3316,3421,3207,3316
2011-02-25,16027,3360,3412,3294,3361
2011-02-28,16891,3402,3462,3318,3401
2011-03-01,13506,3389,3433,3321,3389
2011-03-02,20891,3461,3500,3377,3462
2011-03-03,14839,3479,3519,3435,3479
2011-03-04,10593,3506,3536,3458,3506
2011-03-07,8414,3555,3571,3531,3555
2011-03-08,13849,3477,3536,3442,3477
2011-03-09,8931,3454,3490,3428,3454
2011-03-10,16952,3350,3403,3312,3350
2011-03-11,19837,3310,3354,3227,3310
2011-03-14,19886,3190,3230,3152,3190
2011-03-15,16991,3216,3291,3121,3216
2011-03-16,5983,3203,3254,3161,3203
2011-03-17,2889,3230,3256,3201,3230
2011-03-18,1272,3298,3334,3271,3298
2011-03-21,2187,3332,3366,3306,3332
2011-03-22,2340,3240,3286,3186,3240
2011-03-23,1862,3230,3256,3199,3230
2011-03-24,3898,3122,3181,3061,3121
2011-03-25,3715,3168,3218,3113,3168
2011-03-28,2484,3171,3198,3150,3171
2011-03-29,2235,3150,3181,3117,3150
2011-03-30,2743,3193,3216,3170,3193
2011-03-31,3406,3214,3231,3184,3214
