Date,Volume,Open,High,Low,Close
3/1/2011,6729,3654,3669,3628,3654
4/1/2011,6776,3647,3713,3614,3647
5/1/2011,13129,3633,3659,3598,3633
6/1/2011,11863,3685,3702,3653,3685
7/1/2011,17658,3602,3655,3567,3601
10/1/2011,10650,3573,3615,3538,3573
11/1/2011,11125,3543,3567,3508,3542
12/1/2011,7160,3486,3542,3421,3486
13/1/2011,2944,3472,3516,3448,3472
14/1/2011,2368,3483,3508,3452,3483
17/1/2011,1227,3470,3505,3429,3470
18/1/2011,1837,3464,3487,3423,3464
19/1/2011,3281,3538,3551,3509,3538
21/1/2011,1260,3583,3614,3527,3583
24/1/2011,1810,3608,3652,3561,3608
25/1/2011,3190,3523,3552,3501,3523
26/1/2011,1781,3464,3503,3428,3464
27/1/2011,1833,3513,3532,3477,3513
28/1/2011,1172,3521,3533,3495,3521
31/1/2011,1910,3583,3631,3556,3583
2/2/2011,864,3716,3730,3676,3717
7/2/2011,2994,3713,3746,3697,3713
8/2/2011,2860,3676,3724,3656,3676
9/2/2011,3433,3745,3772,3707,3745
10/2/2011,2578,3753,3801,3722,3753
11/2/2011,1902,3758,3791,3738,3758
14/2/2011,3260,3761,3778,3743,3760
16/2/2011,11703,3653,3693,3612,3652
17/2/2011,16742,3576,3651,3519,3576
18/2/2011,16129,3578,3656,3531,3578
21/2/2011,11407,3531,3549,3492,3531
22/2/2011,13795,3540,3575,3510,3540
23/2/2011,16587,3396,3429,3374,3396
24/2/2011,27351,3316,3421,3207,3316
25/2/2011,16027,3360,3412,3294,3361
28/2/2011,16891,3402,3462,3318,3401
1/3/2011,13506,3389,3433,3321,3389
2/3/2011,20891,3461,3500,3377,3462
3/3/2011,14839,3479,3519,3435,3479
4/3/2011,10593,3506,3536,3458,3506
7/3/2011,8414,3555,3571,3531,3555
8/3/2011,13849,3477,3536,3442,3477
9/3/2011,8931,3454,3490,3428,3454
10/3/2011,16952,3350,3403,3312,3350
11/3/2011,19837,3310,3354,3227,3310
14/3/2011,19886,3190,3230,3152,3190
15/3/2011,16991,3216,3291,3121,3216
16/3/2011,5983,3203,3254,3161,3203
17/3/2011,2889,3230,3256,3201,3230
18/3/2011,1272,3298,3334,3271,3298
21/3/2011,2187,3332,3366,3306,3332
22/3/2011,2340,3240,3286,3186,3240
23/3/2011,1862,3230,3256,3199,3230
24/3/2011,3898,3122,3181,3061,3121
25/3/2011,3715,3168,3218,3113,3168
28/3/2011,2484,3171,3198,3150,3171
29/3/2011,2235,3150,3181,3117,3150
