,Date,Volume,Open,High,Low,Close,MAm,MAn,MAdelta,EMAm,EMAn,MACD,Signal,MACDdelta,Change,Gain,Loss,AveGain,AveLoss,RS,RSI,TradingVolRec,TradingVolActual,Fee,ContractHeld,CashBal,Asset
0,2011-01-03,6729,3654,3669,3628,3654,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,
1,2011-01-04,6776,3647,3713,3614,3647,,,,,,,,,-7.0,0.0,7.0,,,,,,0.0,,,,
2,2011-01-05,13129,3633,3659,3598,3633,,,,,,,,,-14.0,0.0,14.0,,,,,,0.0,,,,
3,2011-01-06,11863,3685,3702,3653,3685,,,,,,,,,52.0,52.0,0.0,,,,,,0.0,,,,
4,2011-01-07,17658,3602,3655,3567,3601,,,,,,,,,-84.0,0.0,84.0,,,,,,0.0,,,,
5,2011-01-10,10650,3573,3615,3538,3573,,,,,,,,,-28.0,0.0,28.0,,,,,,0.0,,,,
6,2011-01-11,11125,3543,3567,3508,3542,,,,,,,,,-31.0,0.0,31.0,,,,,,0.0,,,,
7,2011-01-12,7160,3486,3542,3421,3486,,,,,,,,,-56.0,0.0,56.0,,,,,,0.0,,,,
8,2011-01-13,2944,3472,3516,3448,3472,,,,,,,,,-14.0,0.0,14.0,,,,,,0.0,,,,
9,2011-01-14,2368,3483,3508,3452,3483,,,,,,,,,11.0,11.0,0.0,,,,,,0.0,,,,
10,2011-01-17,1227,3470,3505,3429,3470,,,,,,,,,-13.0,0.0,13.0,,,,,,0.0,,,,
11,2011-01-18,1837,3464,3487,3423,3464,,,,,,,,,-6.0,0.0,6.0,,,,,,0.0,,,,
12,2011-01-19,3281,3538,3551,3509,3538,,,,,,,,,74.0,74.0,0.0,,,,,,0.0,,,,
13,2011-01-21,1260,3583,3614,3527,3583,,,,,,,,,45.0,45.0,0.0,,,,,,0.0,,,,
14,2011-01-24,1810,3608,3652,3561,3608,,,,,,,,,25.0,25.0,0.0,,,,,,0.0,,,,
15,2011-01-25,3190,3523,3552,3501,3523,,,,,,,,,-85.0,0.0,85.0,,,,,,0.0,,,,
16,2011-01-26,1781,3464,3503,3428,3464,,,,,,,,,-59.0,0.0,59.0,,,,,,0.0,,,,
17,2011-01-27,1833,3513,3532,3477,3513,,,,,,,,,49.0,49.0,0.0,,,,,,0.0,,,,
18,2011-01-28,1172,3521,3533,3495,3521,,,,,,,,,8.0,8.0,0.0,,,,,,0.0,,,,
19,2011-01-31,1910,3583,3631,3556,3583,,3552.15,,,,,,,62.0,62.0,0.0,,,,,,0.0,,,,
20,2011-02-02,864,3716,3730,3676,3717,,3555.3,,,,,,,134.0,134.0,0.0,14.785714285714286,18.071428571428573,0.8181818181818181,45.0,,0.0,,,,
21,2011-02-07,2994,3713,3746,3697,3713,,3558.6,,,,,,,-4.0,0.0,4.0,14.046428571428573,17.367857142857144,0.8087600246761258,44.71350613915416,,0.0,,,,
22,2011-02-08,2860,3676,3724,3656,3676,,3560.75,,,,,,,-37.0,0.0,37.0,13.344107142857144,18.349464285714287,0.7272205299882246,42.10351355615154,,0.0,,,,
23,2011-02-09,3433,3745,3772,3707,3745,,3563.75,,,,,,,69.0,69.0,0.0,16.12690178571429,17.431991071428573,0.9251325175439451,48.055523924358994,,0.0,,,,
24,2011-02-10,2578,3753,3801,3722,3753,,3571.35,,,,,,,8.0,8.0,0.0,15.720556696428574,16.560391517857145,0.9492865358573815,48.699178822360444,,0.0,,,,
25,2011-02-11,1902,3758,3791,3738,3758,,3580.6,,,,,,,5.0,5.0,0.0,15.184528861607145,15.732371941964288,0.9651773373793792,49.11400711889295,,0.0,,,,
26,2011-02-14,3260,3761,3778,3743,3760,,3591.5,,,,,,,2.0,2.0,0.0,14.525302418526788,14.945753344866073,0.9718682011781151,49.28667142141962,,0.0,,,,
27,2011-02-16,11703,3653,3693,3612,3652,,3599.8,,,,,,,-108.0,0.0,108.0,13.79903729760045,19.59846567762277,0.7040876323984883,41.31757187906417,,0.0,,,,
28,2011-02-17,16742,3576,3651,3519,3576,,3605.0,,,,,,,-76.0,0.0,76.0,13.109085432720429,22.41854239374163,0.5847429865190507,36.89828517894005,,0.0,,,,
29,2011-02-18,16129,3578,3656,3531,3578,,3609.75,,,,,,,2.0,2.0,0.0,12.553631161084407,21.29761527405455,0.589438347887599,37.08469401603255,,0.0,,,,
30,2011-02-21,11407,3531,3549,3492,3531,,3612.8,,,,,,,-47.0,0.0,47.0,11.925949603030187,22.58273451035182,0.5281003324714014,34.559270831209304,,0.0,,,,
31,2011-02-22,13795,3540,3575,3510,3540,,3616.6,,,,,,,9.0,9.0,0.0,11.779652122878677,21.45359778483423,0.5490758352524832,35.44538122389531,,0.0,,,,
32,2011-02-23,16587,3396,3429,3374,3396,,3609.5,,,,,,,-144.0,0.0,144.0,11.190669516734742,27.580917895592517,0.40573956092023433,28.86306768336422,,0.0,,,,
33,2011-02-24,27351,3316,3421,3207,3316,,3596.15,,,,,,,-80.0,0.0,80.0,10.631136040898005,30.20187200081289,0.35200255270970837,26.03564261060147,,0.0,,,,
34,2011-02-25,16027,3360,3412,3294,3361,,3583.8,,,,,,,45.0,45.0,0.0,12.349579238853105,28.691778400772243,0.430422229892892,30.090571923306968,,0.0,,,,
35,2011-02-28,16891,3402,3462,3318,3401,,3577.7,,,,,,,40.0,40.0,0.0,13.73210027691045,27.257189480733633,0.5037973664385609,33.50167899493685,,0.0,,,,
36,2011-03-01,13506,3389,3433,3321,3389,,3573.95,,,,,,,-12.0,0.0,12.0,13.045495263064927,26.494330006696952,0.49238819248372867,32.99330529171934,,0.0,,,,
37,2011-03-02,20891,3461,3500,3377,3462,,3571.4,,,,,,,73.0,73.0,0.0,16.04322049991168,25.169613506362104,0.6374043246971769,38.92772939970456,,0.0,,,,
38,2011-03-03,14839,3479,3519,3435,3479,,3569.3,,,,,,,17.0,17.0,0.0,16.091059474916097,23.911132831044,0.6729526195440207,40.22544402527314,,0.0,,,,
39,2011-03-04,10593,3506,3536,3458,3506,,3565.45,,,,,,,27.0,27.0,0.0,16.63650650117029,22.7155761894918,0.7323832053560817,42.27605088133745,,0.0,,,,
40,2011-03-07,8414,3555,3571,3531,3555,,3557.35,,,,,,,49.0,49.0,0.0,18.254681176111777,21.579797380017208,0.8459153186032936,45.82633396440705,,0.0,,,,
41,2011-03-08,13849,3477,3536,3442,3477,,3545.55,,,,,,,-78.0,0.0,78.0,17.341947117306187,24.400807511016346,0.7107120167837371,41.54480764798317,,0.0,,,,
42,2011-03-09,8931,3454,3490,3428,3454,,3534.45,,,,,,,-23.0,0.0,23.0,16.47484976144088,24.33076713546553,0.6771200295376819,40.37397548250247,,0.0,,,,
43,2011-03-10,16952,3350,3403,3312,3350,,3514.7,,,,,,,-104.0,0.0,104.0,15.651107273368837,28.31422877869225,0.5527647387361301,35.59874364393745,,0.0,,,,
44,2011-03-11,19837,3310,3354,3227,3310,,3492.55,,,,,,,-40.0,0.0,40.0,14.868551909700395,28.89851733975764,0.5145091609680863,33.972007184110254,,0.0,,,,
45,2011-03-14,19886,3190,3230,3152,3190,,3464.15,,,,,,,-120.0,0.0,120.0,14.125124314215375,33.45359147276976,0.4222304300485289,29.68790578008668,,0.0,,,,
46,2011-03-15,16991,3216,3291,3121,3216,,3436.95,,,,,,,26.0,26.0,0.0,14.718868098504606,31.78091189913127,0.4631354866474724,31.653629542447163,,0.0,,,,
47,2011-03-16,5983,3203,3254,3161,3203,,3414.5,,,,,,,-13.0,0.0,13.0,13.982924693579374,30.841866304174705,0.4533747911256158,31.19462329290053,,0.0,,,,
48,2011-03-17,2889,3230,3256,3201,3230,,3397.2,,,,,,,27.0,27.0,0.0,14.633778458900405,29.29977298896597,0.49945023343393663,33.30889030509071,,0.0,,,,
49,2011-03-18,1272,3298,3334,3271,3298,,3383.2,,,,,,,68.0,68.0,0.0,17.302089535955385,27.83478433951767,0.6215995541733448,38.33249414589426,,0.0,,,,
50,2011-03-21,2187,3332,3366,3306,3332,,3373.25,,,,,,,34.0,34.0,0.0,18.136985059157617,26.443045122541786,0.6858886703519808,40.68410224316773,,0.0,,,,
51,2011-03-22,2340,3240,3286,3186,3240,,3358.25,,,,,,,-92.0,0.0,92.0,17.230135806199733,29.720892866414697,0.579731432822134,36.698100751623606,,0.0,,,,
52,2011-03-23,1862,3230,3256,3199,3230,,3349.95,,,,,,,-10.0,0.0,10.0,16.368629015889745,28.734848223093962,0.5696438306827183,36.29127955957697,,0.0,,,,
53,2011-03-24,3898,3122,3181,3061,3121,,3340.2,,,,,,,-109.0,0.0,109.0,15.550197565095257,32.74810581193926,0.4748426566835504,32.19615696167344,,0.0,,,,
54,2011-03-25,3715,3168,3218,3113,3168,,3330.55,,,,,,,47.0,47.0,0.0,17.122687686840493,31.110700521342302,0.5503793678671469,35.499657649875886,,0.0,,,,
55,2011-03-28,2484,3171,3198,3150,3171,,3319.05,,,,,,,3.0,3.0,0.0,16.416553302498468,29.555165495275183,0.5554546228178925,35.71011424374565,,0.0,,,,
56,2011-03-29,2235,3150,3181,3117,3150,,3307.1,,,,,,,-21.0,0.0,21.0,15.595725637373544,29.127407220511422,0.5354313042456826,34.871719937267144,,0.0,,,,
57,2011-03-30,2743,3193,3216,3170,3193,,3293.65,,,,,,,43.0,43.0,0.0,16.965939355504865,27.67103685948585,0.6131298744480841,38.0087111496748,,0.0,,,,
58,2011-03-31,3406,3214,3231,3184,3214,,3280.4,,,,,,,21.0,21.0,0.0,17.16764238772962,26.287485016511557,0.6530728358740432,39.50659775549082,,0.0,,,,
59,2011-04-01,2364,3256,3273,3235,3256,,3267.9,,,,,,,42.0,42.0,0.0,18.40926026834314,24.97311076568598,0.7371632809813256,42.43488732762652,,0.0,,,,
60,2011-04-04,1892,3273,3286,3248,3274,,3253.85,,,,,,,18.0,18.0,0.0,18.388797254925983,23.724455227401684,0.7750988201274679,43.665108180952366,,0.0,,,,
61,2011-04-05,2186,3260,3296,3234,3260,,3243.0,,,,,,,-14.0,0.0,14.0,17.46935739217968,23.238232466031597,0.7517506943660819,42.91425125640513,,0.0,,,,
62,2011-04-06,1473,3275,3290,3256,3274,,3234.0,,,,,,,14.0,14.0,0.0,17.295889522570697,22.07632084273002,0.7834588764036027,43.92918091744681,,0.0,,,,
63,2011-04-07,1869,3238,3257,3215,3238,,3228.4,,,,,,,-36.0,0.0,36.0,16.43109504644216,22.772504800593516,0.7215321805976266,41.91220987499333,,0.0,,,,
64,2011-04-08,3600,3264,3296,3219,3265,,3226.15,,,,,,,27.0,27.0,0.0,16.959540294120053,21.63387956056384,0.7839343029825964,43.94412404492253,,0.0,,,,
65,2011-04-11,4061,3319,3351,3277,3319,,3232.6,,,,,,,54.0,54.0,0.0,18.811563279414052,20.55218558253565,0.9153071922141116,47.78905420158782,,0.0,,,,
66,2011-04-12,3376,3268,3287,3245,3268,,3235.2,,,,,,,-51.0,0.0,51.0,17.87098511544335,22.07457630340887,0.8095731881695787,44.73835009616157,,0.0,,,,
67,2011-04-13,4570,3225,3248,3202,3225,,3236.3,,,,,,,-43.0,0.0,43.0,16.977435859671182,23.120847488238425,0.7342912437923222,42.33955781190878,,0.0,,,,
68,2011-04-14,3516,3219,3258,3179,3219,,3235.75,,,,,,,-6.0,0.0,6.0,16.128564066687623,22.264805113826505,0.7243972711295704,42.00872288872577,,0.0,,,,
69,2011-04-15,2955,3162,3206,3125,3162,,3228.95,,,,,,,-57.0,0.0,57.0,15.322135863353243,24.00156485813518,0.63838070367149,38.964124897279746,,0.0,,,,
70,2011-04-18,9160,3148,3171,3123,3148,,3219.75,,,,,,,-14.0,0.0,14.0,14.556029070185579,23.501486615228423,0.619366311097682,38.24744944075357,,0.0,,,,
71,2011-04-19,9320,3141,3165,3118,3141,,3214.8,,,,,,,-7.0,0.0,7.0,13.828227616676301,22.676412284467002,0.6098066767884807,37.8807396926088,,0.0,,,,
72,2011-04-20,15899,3204,3242,3171,3204,,3213.5,,,,,,,63.0,63.0,0.0,16.286816235842487,21.542591670243652,0.7560286378327978,43.05332051793018,,0.0,,,,
73,2011-04-21,8751,3227,3238,3206,3227,,3218.8,,,,,,,23.0,23.0,0.0,16.62247542405036,20.46546208673147,0.8122208701472388,44.819088198738584,,0.0,,,,
74,2011-04-22,13041,3255,3281,3222,3255,,3223.15,,,,,,,28.0,28.0,0.0,17.191351652847843,19.442188982394896,0.8842292227698635,46.9279009201452,,0.0,,,,
75,2011-04-25,7275,3269,3290,3249,3269,,3228.05,,,,,,,14.0,14.0,0.0,17.03178407020545,18.47007953327515,0.9221283557291396,47.97433808104557,,0.0,,,,
76,2011-04-26,8646,3221,3248,3197,3221,,3231.6,,,,,,,-48.0,0.0,48.0,16.180194866695178,19.946575556611393,0.811176576188396,44.787271812862635,,0.0,,,,
77,2011-04-27,9633,3196,3226,3183,3196,,3231.75,,,,,,,-25.0,0.0,25.0,15.37118512336042,20.199246778780825,0.7609781340712044,43.213377801114405,,0.0,,,,
78,2011-04-28,8564,3217,3230,3194,3217,,3231.9,,,,,,,21.0,21.0,0.0,15.652625867192398,19.189284439841785,0.8156961723227995,44.924706278324564,,0.0,,,,
79,2011-04-29,10743,3162,3181,3143,3162,,3227.2,,,,,,,-55.0,0.0,55.0,14.869994573832779,20.979820217849696,0.7087760724079676,41.478581298787546,,0.0,,,,
80,2011-05-03,6142,3196,3211,3177,3196,,3223.3,,,,,,,34.0,34.0,0.0,15.826494845141138,19.93082920695721,0.7940710685341992,44.26084799321663,,0.0,,,,
81,2011-05-04,10428,3163,3178,3134,3163,,3218.45,,,,,,,-33.0,0.0,33.0,15.03517010288408,20.58428774660935,0.7304197399475568,42.210552912999795,,0.0,,,,
82,2011-05-05,9053,3180,3197,3135,3179,,3213.7,,,,,,,16.0,16.0,0.0,15.083411597739877,19.555073359278882,0.7713298396082364,43.54524055095413,,0.0,,,,
83,2011-05-06,17841,3087,3108,3054,3087,,3206.15,,,,,,,-92.0,0.0,92.0,14.329241017852883,23.17731969131494,0.6182440941703182,38.20462539597866,,0.0,,,,
84,2011-05-09,11427,3132,3158,3098,3132,,3199.5,,,,,,,45.0,45.0,0.0,15.862778966960239,22.01845370674919,0.7204311064812835,41.87503374981095,,0.0,,,,
85,2011-05-10,8718,3174,3188,3149,3174,,3192.25,,,,,,,42.0,42.0,0.0,17.169640018612228,20.917531021411733,0.820825364190302,45.07985116712786,,0.0,,,,
86,2011-05-11,8817,3175,3189,3163,3175,,3187.6,,,,,,,1.0,1.0,0.0,16.361158017681618,19.87165447034115,0.8233415110000519,45.155639030478284,,0.0,,,,
87,2011-05-12,12155,3153,3183,3123,3153,,3184.0,,,,,,,-22.0,0.0,22.0,15.543100116797536,19.978071746824092,0.7780080236856902,43.757284181031544,,0.0,,,,
88,2011-05-13,11965,3171,3198,3135,3171,,3181.6,,,,,,,18.0,18.0,0.0,15.66594511095766,18.97916815948289,0.8254284370798524,45.218339996954064,,0.0,,,,
89,2011-05-16,2961,3198,3219,3161,3198,,3183.4,,,,,,,27.0,27.0,0.0,16.232647855409777,18.030209751508742,0.9003027740180034,47.37680680823308,,0.0,,,,
90,2011-05-18,3275,3244,3251,3226,3244,,3188.2,,,,,,,46.0,46.0,0.0,17.72101546263929,17.128699263933306,1.0345803373378843,50.849814988950754,,0.0,,,,
91,2011-05-19,2806,3276,3302,3255,3276,,3194.95,,,,,,,32.0,32.0,0.0,18.434964689507325,16.27226430073664,1.1329071571602225,53.115633906381014,,0.0,,,,
92,2011-05-20,2251,3317,3341,3283,3317,,3200.6,,,,,,,41.0,41.0,0.0,19.56321645503196,15.458651085699808,1.2655189865258765,55.86000356000202,,0.0,,,,
93,2011-05-23,1745,3303,3336,3282,3303,,3204.4,,,,,,,-14.0,0.0,14.0,18.585055632280362,15.385718531414819,1.2079420011703115,54.70895524112709,,0.0,,,,
94,2011-05-24,2609,3315,3324,3306,3315,,3207.4,,,,,,,12.0,12.0,0.0,18.255802850666345,14.616432604844078,1.2489916893001738,55.53562937748456,,0.0,,,,
95,2011-05-25,1705,3315,3356,3284,3315,,3209.7,,,,,,,0.0,0.0,0.0,17.343012708133028,13.885610974601875,1.2489916893001738,55.53562937748456,,0.0,,,,
96,2011-05-26,1081,3355,3376,3336,3355,,3216.4,,,,,,,40.0,40.0,0.0,18.47586207272638,13.19133042587178,1.4006064192350303,58.34385878553733,,0.0,,,,
97,2011-05-27,2507,3363,3376,3345,3363,,3224.75,,,,,,,8.0,8.0,0.0,17.95206896909006,12.53176390457819,1.4325253097476316,58.89045857024413,,0.0,,,,
98,2011-05-30,1503,3361,3382,3329,3361,,3231.95,,,,,,,-2.0,0.0,2.0,17.054465520635556,12.005175709349281,1.4205927454567813,58.68780480000597,,0.0,,,,
